user_ID,high_school,test_ID,impression,Pass_or_Fail,subject_s/he_is_good_at
000000,4,"11,  41,  51",example0,pass,é–
000001,2,"21,  32",example1,pass,êî
000002,3,"15,  35",example2,pass,çë
000003,3,"11,  34",example3,pass,çë
000004,2,"23,  52",example4,pass,óù
000005,2,23,example5,pass,óù
000006,1,"14,  52",example6,pass,âp
000007,5,"33,  51",example7,pass,çë
000008,1,11,example8,pass,çë
000009,2,22,example9,pass,çë
000010,1,15,example10,pass,âp
000011,3,31,example11,pass,çë
000012,1,"11,  31",example12,pass,çë
000013,1,"14,  34",example13,pass,é–
000014,3,"13,  33",example14,pass,óù
000015,3,"23,  32",example15,pass,é–
000016,2,22,example16,pass,é–
000017,1,"11,  34",example17,pass,é–
000018,3,"11,  31",example18,pass,é–
000019,1,12,example19,pass,é–
000020,1,"13,  31",example20,pass,âp
000021,2,21,example21,pass,âp
000022,1,"16,  52",example22,pass,é–
000023,1,16,example23,pass,çë
000024,3,"11,  31",example24,pass,âp
000025,2,"22,  52",example25,pass,é–
000026,2,"21,  34",example26,pass,óù
000027,2,24,example27,pass,é–
000028,3,"23,  34",example28,pass,çë
000029,3,"23,  34",example29,pass,âp
000030,3,34,example30,pass,óù
000031,3,35,example31,pass,âp
000032,1,"14,  32",example32,pass,é–
000033,1,"11,  31",example33,pass,óù
000034,3,34,example34,pass,êî
000035,5,"11,  33,  52",example35,pass,é–
000036,3,35,example36,pass,óù
000037,1,"13,  35",example37,pass,âp
000038,4,"16,  41",example38,pass,çë
000039,3,31,example39,pass,êî
000040,5,52,example40,pass,é–
000041,3,35,example41,pass,çë
000042,2,"21,  52",example42,pass,çë
000043,5,51,example43,pass,êî
000044,2,24,example44,pass,âp
000045,2,"24,  51",example45,pass,é–
000046,3,"15,  31",example46,pass,é–
000047,3,"35,  51",example47,pass,é–
000048,4,41,example48,pass,é–
000049,3,33,example49,pass,âp
000050,3,"22,  33",example50,pass,óù
000051,2,21,example51,pass,óù
000052,1,16,example52,pass,çë
000053,1,16,example53,pass,é–
000054,1,"12,  32",example54,pass,é–
000055,1,11,example55,pass,é–
000056,2,"22,  33",example56,pass,óù
000057,2,"21,  34",example57,pass,êî
000058,3,31,example58,pass,çë
000059,3,34,example59,pass,óù
000060,5,51,example60,pass,óù
000061,1,14,example61,pass,çë
000062,1,"15,  34",example62,pass,âp
000063,1,13,example63,pass,çë
000064,1,15,example64,pass,êî
000065,3,"23,  35",example65,pass,âp
000066,3,"13,  35",example66,pass,êî
000067,2,23,example67,pass,êî
000068,1,16,example68,pass,âp
000069,2,21,example69,pass,é–
000070,3,"14,  35",example70,pass,çë
000071,1,11,example71,pass,çë
000072,1,16,example72,pass,é–
000073,3,35,example73,pass,âp
000074,2,"23,  32",example74,pass,âp
000075,1,13,example75,pass,é–
000076,3,"33,  52",example76,pass,çë
000077,2,24,example77,pass,óù
000078,3,"16,  31",example78,pass,êî
000079,3,"23,  31,  51",example79,pass,óù
000080,3,"34,  51",example80,pass,âp
000081,1,15,example81,pass,êî
000082,3,33,example82,pass,âp
000083,1,"15,  41",example83,pass,êî
000084,1,16,example84,pass,âp
000085,3,32,example85,pass,óù
000086,4,41,example86,pass,çë
000087,1,14,example87,pass,êî
000088,2,21,example88,pass,êî
000089,5,52,example89,pass,êî
000090,2,23,example90,pass,çë
000091,3,34,example91,pass,çë
000092,1,14,example92,pass,âp
000093,1,11,example93,pass,êî
000094,2,"21,  31",example94,pass,óù
000095,1,15,example95,pass,é–
000096,2,"22,  31",example96,pass,çë
000097,2,"22,  33",example97,pass,óù
000098,1,16,example98,pass,óù
000099,2,"21,  33",example99,pass,êî
000100,5,52,example100,pass,êî
000101,3,34,example101,pass,âp
000102,3,32,example102,pass,âp
000103,3,32,example103,pass,çë
000104,1,"13,  34",example104,pass,êî
000105,5,51,example105,pass,çë
000106,2,21,example106,pass,âp
000107,2,"22,  35",example107,pass,êî
000108,1,"13,  51",example108,pass,é–
000109,3,"12,  32",example109,pass,çë
000110,1,15,example110,pass,âp
000111,2,22,example111,pass,çë
000112,1,13,example112,pass,êî
000113,1,11,example113,pass,é–
000114,2,24,example114,pass,é–
000115,2,21,example115,pass,çë
000116,2,"21,  52",example116,pass,óù
000117,1,13,example117,pass,âp
000118,1,12,example118,pass,âp
000119,2,"23,  32",example119,pass,âp
000120,1,11,example120,pass,çë
000121,1,"14,  35",example121,pass,é–
000122,1,"11,  34",example122,pass,óù
000123,1,11,example123,pass,çë
000124,1,12,example124,pass,óù
000125,3,"14,  34",example125,pass,êî
000126,1,11,example126,pass,çë
000127,2,"24,  35",example127,pass,âp
000128,3,35,example128,pass,êî
000129,1,15,example129,pass,çë
000130,3,31,example130,pass,çë
000131,3,"16,  32",example131,pass,çë
000132,2,22,example132,pass,êî
000133,1,16,example133,pass,êî
000134,1,11,example134,pass,âp
000135,3,35,example135,pass,óù
000136,1,"16,  51",example136,pass,óù
000137,1,12,example137,pass,é–
000138,4,"12,  41",example138,pass,çë
000139,3,34,example139,pass,óù
000140,1,"15,  33",example140,pass,óù
000141,1,14,example141,pass,çë
000142,3,"11,  32",example142,pass,é–
000143,2,21,example143,pass,çë
000144,2,21,example144,pass,çë
000145,3,"11,  31",example145,pass,çë
000146,5,"21,  33,  51",example146,pass,âp
000147,2,22,example147,pass,êî
000148,1,16,example148,pass,é–
000149,1,"12,  35",example149,pass,âp
000150,1,11,example150,pass,óù
000151,5,"12,  52",example151,pass,êî
000152,2,"24,  35",example152,pass,óù
000153,3,"11,  35",example153,pass,é–
000154,2,"23,  34",example154,pass,çë
000155,3,"16,  31",example155,pass,êî
000156,3,"24,  31",example156,pass,êî
000157,3,"12,  35",example157,pass,âp
000158,1,12,example158,pass,çë
000159,5,"22,  51",example159,pass,âp
000160,2,22,example160,pass,óù
000161,3,"13,  32",example161,pass,çë
000162,1,"13,  31",example162,pass,óù
000163,3,"14,  34",example163,pass,é–
000164,2,23,example164,pass,é–
000165,2,24,example165,pass,é–
000166,2,"22,  32",example166,pass,óù
000167,1,11,example167,pass,çë
000168,4,41,example168,pass,çë
000169,3,"13,  32",example169,pass,êî
000170,5,52,example170,pass,çë
000171,1,11,example171,pass,é–
000172,3,"13,  32",example172,pass,âp
000173,2,24,example173,pass,êî
000174,3,"16,  32",example174,pass,é–
000175,3,"23,  31",example175,pass,óù
000176,2,"23,  32",example176,pass,êî
000177,3,31,example177,pass,é–
000178,3,"21,  33",example178,pass,êî
000179,2,"21,  31",example179,pass,óù
000180,3,"14,  31",example180,pass,é–
000181,2,"24,  31",example181,pass,é–
000182,3,34,example182,pass,óù
000183,1,"13,  31",example183,pass,êî
000184,2,23,example184,pass,âp
000185,2,"21,  32",example185,pass,é–
000186,3,"15,  34",example186,pass,âp
000187,1,13,example187,pass,çë
000188,2,23,example188,pass,óù
000189,1,15,example189,pass,çë
000190,1,"14,  34",example190,pass,âp
000191,4,"15,  41",example191,pass,é–
000192,2,21,example192,pass,óù
000193,1,"15,  31",example193,pass,êî
000194,1,14,example194,pass,êî
000195,3,"31,  51",example195,pass,é–
000196,2,21,example196,pass,é–
000197,1,11,example197,pass,âp
000198,2,21,example198,pass,óù
000199,2,21,example199,pass,êî
000200,5,"15,  34,  52",example200,pass,âp
000201,1,"11,  52",example201,pass,âp
000202,1,15,example202,pass,êî
000203,2,22,example203,pass,êî
000204,3,34,example204,pass,êî
000205,4,41,example205,pass,çë
000206,2,"21,  34",example206,pass,óù
000207,1,15,example207,pass,êî
000208,3,35,example208,pass,çë
000209,5,"14,  51",example209,pass,âp
000210,2,24,example210,pass,çë
000211,4,"12,  41",example211,pass,çë
000212,1,12,example212,pass,óù
000213,2,24,example213,pass,é–
000214,2,"24,  41",example214,pass,çë
000215,1,11,example215,pass,âp
000216,4,41,example216,pass,êî
000217,1,14,example217,pass,âp
000218,3,"23,  31",example218,pass,é–
000219,2,"23,  35",example219,pass,óù
000220,1,"15,  31,  51",example220,pass,âp
000221,3,31,example221,pass,çë
000222,1,13,example222,pass,âp
000223,4,"41,  51",example223,pass,çë
000224,5,"41,  52",example224,pass,çë
000225,1,13,example225,pass,é–
000226,1,12,example226,pass,óù
000227,3,32,example227,pass,é–
000228,3,"23,  34",example228,pass,çë
000229,1,"12,  35",example229,pass,óù
000230,2,24,example230,pass,êî
000231,1,"14,  41",example231,pass,êî
000232,3,34,example232,pass,é–
000233,2,24,example233,pass,óù
000234,3,35,example234,pass,é–
000235,3,"16,  35",example235,pass,êî
000236,5,"12,  52",example236,pass,êî
000237,5,"12,  32,  52",example237,pass,êî
000238,2,22,example238,pass,óù
000239,3,"21,  33",example239,pass,é–
000240,3,31,example240,pass,âp
000241,3,32,example241,pass,êî
000242,3,34,example242,pass,çë
000243,2,21,example243,pass,é–
000244,3,"11,  35",example244,pass,é–
000245,1,11,example245,pass,óù
000246,1,15,example246,pass,êî
000247,3,"22,  35",example247,pass,óù
000248,1,11,example248,pass,êî
000249,3,"31,  52",example249,pass,âp
000250,5,52,example250,pass,óù
000251,2,22,example251,pass,êî
000252,5,"15,  51",example252,pass,é–
000253,1,15,example253,pass,êî
000254,3,"15,  33",example254,pass,âp
000255,1,16,example255,pass,âp
000256,1,"14,  32",example256,pass,óù
000257,5,"11,  51",example257,pass,é–
000258,3,32,example258,pass,óù
000259,5,52,example259,pass,êî
000260,2,22,example260,pass,é–
000261,4,"14,  41",example261,pass,çë
000262,4,"11,  41",example262,pass,é–
000263,1,"11,  34",example263,pass,êî
000264,3,35,example264,pass,âp
000265,3,32,example265,pass,âp
000266,2,21,example266,pass,âp
000267,3,"14,  35",example267,pass,âp
000268,4,"12,  41",example268,pass,óù
000269,1,13,example269,pass,âp
000270,1,"11,  35",example270,pass,é–
000271,2,23,example271,pass,âp
000272,4,41,example272,pass,óù
000273,3,31,example273,pass,óù
000274,3,31,example274,pass,óù
000275,4,"15,  41",example275,pass,é–
000276,5,51,example276,pass,âp
000277,2,"21,  35",example277,pass,êî
000278,1,15,example278,pass,é–
000279,2,"24,  51",example279,pass,óù
000280,4,41,example280,pass,êî
000281,4,"12,  41",example281,pass,êî
000282,2,"21,  31",example282,pass,êî
000283,1,"16,  52",example283,pass,êî
000284,1,11,example284,pass,êî
000285,5,"41,  51",example285,pass,âp
000286,2,24,example286,pass,âp
000287,5,51,example287,pass,é–
000288,1,12,example288,pass,çë
000289,1,"11,  33",example289,pass,çë
000290,1,"12,  35",example290,pass,óù
000291,2,21,example291,pass,êî
000292,3,"16,  33",example292,pass,êî
000293,1,14,example293,pass,é–
000294,1,14,example294,pass,é–
000295,3,"24,  32",example295,pass,é–
000296,3,"34,  52",example296,pass,êî
000297,2,22,example297,pass,é–
000298,2,22,example298,pass,é–
000299,5,52,example299,pass,çë
000300,1,12,example300,pass,é–
000301,2,22,example301,pass,êî
000302,3,32,example302,pass,óù
000303,1,"11,  52",example303,pass,é–
000304,3,"16,  32",example304,pass,êî
000305,3,"21,  31",example305,pass,êî
000306,2,23,example306,pass,âp
000307,2,"23,  31",example307,pass,êî
000308,1,"15,  52",example308,pass,çë
000309,3,34,example309,pass,âp
000310,5,51,example310,pass,óù
000311,3,31,example311,pass,é–
000312,1,13,example312,pass,óù
000313,3,34,example313,pass,êî
000314,3,"13,  34",example314,pass,çë
000315,1,13,example315,pass,óù
000316,1,"14,  31",example316,pass,óù
000317,1,"15,  35",example317,pass,é–
000318,1,14,example318,pass,çë
000319,1,11,example319,pass,óù
